"acetato de betametasona + fosfato dissódico de betametasona", "3 mg/mL + 3 mg/mL", "suspensão injetável";
"cloridrato de prilocaína + felipressina", "30 mg/mL (3%) + 0,03 UI mL", "solução injetável";
"cloridrato de prometazina", "25 mg", "comprimido";
"cloridrato de prometazina", "25 mg/mL", "solução injetável";
"cloridrato de propafenona", "150 mg", "comprimido";
"cloridrato de propafenona", "300 mg", "comprimido";
"cloridrato de propranolol", "10 mg", "comprimido";
"cloridrato de propranolol", "40 mg", "comprimido";
"cloridrato de protamina", "10 mg/mL", "solução injetável";
"cloridrato de ranitidina", "25 mg/mL", "solução injetável";
"cloridrato de ranitidina", "15 mg/mL", "xarope";
"cloridrato de ranitidina", "150 mg", "comprimido";
"cloridrato de tetraciclina", "10 mg/g (1%)", "pomada oftálmica";
"cloridrato de tiamina", "300 mg", "comprimido";
"cloridrato de verapamil", "80 mg", "comprimido";
"cloridrato de verapamil", "2,5 mg/mL", "solução injetável";
"cloridrato de verapamil", "120 mg", "comprimido";
"decanoato de haloperidol", "50 mg/mL", "solução injetável";
"dexametasona", "1 mg/g (0,1%)", "creme";
"dexametasona", "1 mg/g (0,1%)", "pomada oftálmica";
"dexametasona", "1 mg/mL (0,1%)", "suspensão oftálmica";
"dexametasona", "4 mg", "comprimido";
"dexametasona", "0,1 mg/mL", "elixir";
"diazepam", "5 mg/mL", "solução injetável";
"diazepam", "5 mg", "comprimido";
"diazepam", "10 mg", "comprimido";
"digliconato de clorexidina", "0,12%", "solução bucal";
"digliconato de clorexidina", "2% a 4%", "solução para uso tópico";
"digoxina", "0,25 mg", "comprimido";
"digoxina", "0,05 mg/mL", "elixir";
"dinitrato de isossorbida", "5 mg", "comprimido sublingual";
"dipirona", "500 mg/mL", "solução injetável";
"dipirona", "500 mg", "comprimido";
"dipirona", "500 mg/mL", "solução oral";
"dipropionato de beclometasona", "50 mcg/dose", "solução para inalação oral";
"dipropionato de beclometasona", "50 mcg/dose", "suspensão para inalação nasal";
"dipropionato de beclometasona", "200 mcg/dose", "pó para inalação oral";
"dipropionato de beclometasona", "200 mcg/dose", "solução para inalação oral";
"dipropionato de beclometasona", "200 mcg/dose", "cápsula para inalação oral";
"dipropionato de beclometasona", "250 mcg/dose", "solução para inalação oral";
"dipropionato de beclometasona", "400 mcg/dose", "pó para inalação oral";
"dipropionato de beclometasona", "400 mcg/dose", "cápsula para inalação oral";
"enantato de noretisterona + valerato de estradiol", "50 mg/mL + 5 mg/mL", "solução injetável";
"epinefrina", "1 mg/mL", "solução injetável";
"espinheira-santa (Maytenus ilicifolia Mart. ex Reissek)", "60 mg a 90 mg de taninos totais expressos em pirogalol (dose diária)", "cápsula";
"espinheira-santa (Maytenus ilicifolia Mart. ex Reissek)", "60 mg a 90 mg de taninos totais expressos em pirogalol (dose diária)", "tintura";
"espinheira-santa (Maytenus ilicifolia Mart. ex Reissek)", "60 mg a 90 mg de taninos totais expressos em pirogalol (dose diária)", "suspensão oral";
"espinheira-santa (Maytenus ilicifolia Mart. ex Reissek)", "60 mg a 90 mg de taninos totais expressos em pirogalol (dose diária)", "emulsão oral";
"espironolactona", "25 mg", "comprimido";
"espironolactona", "100 mg", "comprimido";
"estolato de eritromicina", "25 mg/mL", "suspensão oral";
"estolato de eritromicina", "50 mg/mL", "suspensão oral";
"estolato de eritromicina", "500 mg", "comprimido";
"estriol", "1 mg/g", "creme vaginal";
"estrogênios conjugados", "0,625 mg/g", "creme vaginal";
"estrogênios conjugados", "0,3 mg", "comprimido";
"etinilestradiol + levonorgestrel", "0,03 mg + 0,15 mg", "comprimido";
"fenitoína", "100 mg", "comprimido";
"fenitoína", "20 mg/mL", "suspensão oral";
"fenitoína", "50 mg/mL", "solução injetável";
"fenobarbital", "100 mg/mL", "solução injetável";
"fenobarbital", "100 mg", "comprimido";
"fenobarbital", "40 mg/mL", "solução oral";
"finasterida", "5 mg", "comprimido";
"fluconazol", "150 mg", "cápsula";
"fluconazol", "10 mg/mL", "suspensão oral";
"fluconazol", "100 mg", "cápsula";
"flumazenil", "0,1 mg/mL", "solução injetável";
"folinato de cálcio (ácido folínico)", "15 mg", "comprimido";
"fosfato de cálcio tribásico + colecalciferol", "1661,616 mg (600 mg de cálcio) + 400 UI", "comprimido";
"fosfato de potássio monobásico + fosfato de potássio dibásico", "0,03 g/mL + 0,1567 g/mL", "solução injetável";
"fosfato dissódico de dexametasona", "4 mg/mL", "solução injetável";
"fosfato sódico de prednisolona", "1 mg/mL", "solução oral";
"fosfato sódico de prednisolona", "3 mg/mL", "solução oral";
"furosemida", "40 mg", "comprimido";
"furosemida", "10 mg/mL", "solução injetável";
"garra-do-diabo (Harpagophytum procumbens DC. ex Meissn.)", "30 mg a 100 mg de harpagosídeo ou 45 mg a 150 mg de iridoides totais expressos em harpagosídeos (dose diária)", "cápsula";
"garra-do-diabo (Harpagophytum procumbens DC. ex Meissn.)", "30 mg a 100 mg de harpagosídeo ou 45 mg a 150 mg de iridoides totais expressos em harpagosídeos (dose diária)", "comprimido";
"garra-do-diabo (Harpagophytum procumbens DC. ex Meissn.)", "30 mg a 100 mg de harpagosídeo ou 45 mg a 150 mg de iridoides totais expressos em harpagosídeos (dose diária)", "comprimido de liberação retardada";
"glibenclamida", "5 mg", "comprimido";
"glicerol", "120 mg/mL", "solução retal";
"glicerol", "72 mgv", "supositório retal";
"gliclazida", "30 mg", "comprimido de liberação prolongada";
"gliclazida", "60 mg", "comprimido de liberação prolongada";
"gliclazida", "80 mg", "comprimido";
"glicose", "50 mg/mL (5%)", "solução injetável";
"glicose", "100 mg/mL (10%)", "solução injetável";
"glicose", "500 mg/mL (50%)", "solução injetável";
"guaco (Mikania glomerata Spreng.)", "0,5 mg a 5 mg de cumarina (dose diária)", "tintura";
"guaco (Mikania glomerata Spreng.)", "0,5 mg a 5 mg de cumarina (dose diária)", "xarope";
"guaco (Mikania glomerata Spreng.)", "0,5 mg a 5 mg de cumarina (dose diária)", "solução oral";
"haloperidol", "1 mg", "comprimido";
"haloperidol", "5 mg", "comprimido";
"haloperidol", "2 mg/mL", "solução oral";
"haloperidol", "5 mg/mL", "solução injetável";
"hemitartarato de norepinefrina", "2 mg/mL", "solução injetável";
"heparina sódica", "5.000 UI/0,25 mL", "solução injetável";
"hidroclorotiazida", "12,5 mg", "comprimido";
"hidroclorotiazida", "25 mg", "comprimido";
"hidróxido de alumínio", "230 mg", "comprimido";
"hidróxido de alumínio", "300 mg", "comprimido";
"hidróxido de alumínio", "61,5 mg/mL", "suspensão oral";
"hipromelose", "3 mg/mL (0,3%)", "solução oftálmica";
"hipromelose", "5 mg/mL (0,5%)", "solução oftálmica";
"hortelã (Mentha x piperita L.)", "60 mg a 440 mg de mentol e 28 mg a 256 mg de mentona (dose diária)", "cápsula";
"ibuprofeno", "200 mg", "comprimido";
"ibuprofeno", "300 mg", "comprimido";
"ibuprofeno", "600 mg", "comprimido";
"ibuprofeno", "50 mg/mL", "suspensão oral";
"insulina humana NPH", "100 UI/mL", "suspensão injetável";
"insulina humana regular", "100 UI/mL", "solução injetável";
"isoflavona-de-soja [Glycine max (L.) Merr.]", "50 mg a 120 mg de isoflavonas (dose diária)", "cápsula";
"isoflavona-de-soja [Glycine max (L.) Merr.]", "50 mg a 120 mg de isoflavonas (dose diária)", "comprimido";
"itraconazol", "100 mg", "cápsula";
"itraconazol", "10 mg/mL", "solução oral";
"ivermectina", "6 mg", "comprimido";
"lactato de biperideno", "5 mg/mL", "solução injetável";
"lactulose", "667 mg/mL", "xarope";
"levodopa + benserazida", "100 mg + 25 mg", "cápsula";
"levodopa + benserazida", "100 mg + 25 mg", "comprimido";
"levodopa + benserazida", "200 mg + 50 mg", "comprimido";
"levodopa + carbidopa", "200 mg + 50 mg", "comprimido";
"levodopa + carbidopa", "250 mg + 25 mg", "comprimido";
"levonorgestrel", "0,75 mg", "comprimido";
"levonorgestrel", "1,5 mg", "comprimido";
"levotiroxina sódica", "25 mcg", "comprimido";
"levotiroxina sódica", "50 mcg", "comprimido";
"levotiroxina sódica", "100 mcg", "comprimido";
"loratadina", "10 mg", "comprimido";
"loratadina", "1 mg/mL", "xarope";
"losartana potássica", "50 mg", "comprimido";
"maleato de dexclorfeniramina", "2 mg", "comprimido";
"maleato de dexclorfeniramina", "0,4 mg/mL", "solução oral";
"maleato de dexclorfeniramina", "0,4 mg/mL", "xarope";
"maleato de enalapril", "5 mg", "comprimido";
"maleato de enalapril", "10 mg", "comprimido";
"maleato de enalapril", "20 mg", "comprimido";
"maleato de timolol", "2,5 mg/mL (0,25%)", "solução oftálmica";
"maleato de timolol", "5 mg/mL (0,5%)", "solução oftálmica";
"mesilato de doxazosina", "2 mg", "comprimido";
"mesilato de doxazosina", "4 mg", "comprimido";
"mesilato de pralidoxima", "200 mg", "solução injetável";
"metildopa", "250 mg", "comprimido";
"metronidazol", "100 mg/g (10%)", "gel vaginal";
"metronidazol", "250 mg", "comprimido";
"metronidazol", "400 mg", "comprimido";
"midazolam", "2 mg/mL", "solução oral";
"misoprostol", "25 mcg", "comprimido vaginal";
"misoprostol", "200 mcg", "comprimido vaginal";
"mononitrato de isossorbida", "20 mg", "comprimido";
"mononitrato de isossorbida", "40 mg", "comprimido";
"nifedipino", "10 mg", "cápsula";
"nifedipino", "10 mg", "comprimido";
"nistatina", "100.000 UI/mL", "suspensão oral";
"nitrato de miconazol", "2% (20 mg/g)", "gel oral";
"nitrato de miconazol", "2% (20 mg/g)", "loção";
"nitrato de miconazol", "2% (20 mg/g)", "pó";
"nitrato de miconazol", "2% (20 mg/g)", "creme vaginal";
"nitrato de miconazol", "2% (20 mg/g)", "creme";
"nitrofurantoína", "100 mg", "cápsula";
"nitrofurantoína", "5 mg/mL", "suspensão oral";
"noretisterona", "0,35 mg", "comprimido";
"óleo mineral", "–", "óleo para uso oral";
"omeprazol", "10 mg", "cápsula";
"omeprazol", "20 mg", "cápsula";
"palmitato de retinol", "150.000 UI/mL", "solução oral";
"paracetamol", "200 mg/mL", "solução oral";
"paracetamol", "500 mg", "comprimido";
"pasta-d’água", "FN*", "pasta";
"permanganato de potássio", "100 mg", "comprimido para uso tópico";
"permanganato de potássio", "100 mg (FN)*", "pó";
"permetrina", "10 mg/g (1%)", "loção";
"permetrina", "50 mg/g (5%)", "loção";
"peróxido de benzoíla", "25 mg/g (2,5%) (FN)*", "gel";
"peróxido de benzoíla", "50 mg/g (5%) (FN)*", "gel";
"plantago (Plantago ovata Forssk.)", "3 g a 30 g (dose diária)", "pó para dispersão oral";
"podofilina", "100 mg/mL (10%) a  250 mg/mL (25%) (FN)*", "solução para uso tópico";
"prednisona", "5 mg", "comprimido";
"prednisona", "20 mg", "comprimido";
"propiltiouracila", "100 mg", "comprimido";
"sais para reidratação oral", "cloreto de sódio, glicose anidra, cloreto de potássio, citrato de sódio di-hidratado", "pó para solução oral";
"salgueiro (Salix alba L.)", "60 mg a 240 mg de salicina (dose diária)", "comprimido";
"salgueiro (Salix alba L.)", "60 mg a 240 mg de salicina (dose diária)", "elixir";
"salgueiro (Salix alba L.)", "60 mg a 240 mg de salicina (dose diária)", "solução oral";
"sinvastatina", "10 mg", "comprimido";
"sinvastatina", "20 mg", "comprimido";
"sinvastatina", "40 mg", "comprimido";
"solução ringer + lactato", "lactato de sódio 3 mg/mL + cloreto de sódio 6 mg/mL + cloreto de potássio 0,3 mg/ mL + cloreto de cálcio 0,2 mg/mL", "solução injetável";
"succinato de metoprolol", "25 mg", "comprimido de liberação prolongada";
"succinato de metoprolol", "50 mg", "comprimido de liberação prolongada";
"succinato de metoprolol", "100 mg", "comprimido de liberação prolongada";
"succinato sódico de hidrocortisona", "100 mg", "pó para solução injetável";
"succinato sódico de hidrocortisona", "500 mg", "pó para solução injetável";
"sulfadiazina de prata", "10 mg/g (1%)", "creme";
"sulfametoxazol + trimetoprima", "40 mg/mL + 8 mg/mL", "suspensão oral";
"sulfametoxazol + trimetoprima", "80 mg/mL + 16 mg/mL", "solução injetável";
"sulfametoxazol + trimetoprima", "400 mg + 80 mg", "comprimido";
"sulfato de atropina", "0,25 mg/mL", "solução injetável";
"sulfato de gentamicina", "5 mg/g", "pomada oftálmica";
"sulfato de gentamicina", "5 mg/mL", "solução oftálmica";
"sulfato de magnésio", "–", "pó para solução oral";
"sulfato de magnésio", "10% (0,81 mEq/mL Mg++)", "solução injetável";
"sulfato de magnésio", "50% (4,05 mEq/mL Mg++)", "solução injetável";
"sulfato de salbutamol", "100 mcg/dose", "aerossol oral";
"sulfato de salbutamol", "5 mg/mL", "solução para inalação";
"sulfato de salbutamol", "0,5 mg/mL", "solução injetável";
"sulfato de zinco", "200 mcg/mL", "solução injetável";
"sulfato de zinco", "10 mg", "comprimido mastigável";
"sulfato de zinco", "4 mg/mL", "xarope";
"sulfato ferroso", "5 mg/mL", "xarope";
"sulfato ferroso", "25 mg/mL", "solução oral";
"sulfato ferroso", "40 mg", "comprimido";
"tartarato de metoprolol", "100 mg", "comprimido";
"teclozana", "500 mg", "comprimido";
"teclozana", "10 mg/mL", "suspensão oral";
"unha-de-gato [Uncaria tomentosa (Willd. ex Roem. & Schult.)]", "0,9 mg de alcaloides oxindólicos pentaclíclicos", "cápsula";
"unha-de-gato [Uncaria tomentosa (Willd. ex Roem. & Schult.)]", "0,9 mg de alcaloides oxindólicos pentaclíclicos", "comprimido";
"unha-de-gato [Uncaria tomentosa (Willd. ex Roem. & Schult.)]", "0,9 mg de alcaloides oxindólicos pentaclíclicos", "gel";
"varfarina sódica", "1 mg", "comprimido";
"varfarina sódica", "5 mg", "comprimido";
